,ORGANIZATION_TYPE,NAME_INCOME_TYPE,OCCUPATION_TYPE,,,,OCCUPATION_TYPE,UNKNOWN
564,Business Entity Type 3,Commercial associate,Low-skill Laborers,,,,,
565,Medicine,Working,High skill tech staff,,,,,
566,XNA,Pensioner,UNKNOWN,,,,,
567,Business Entity Type 1,Working,Laborers,,,,,
568,Trade: type 7,Working,UNKNOWN,,,,,
569,Industry: type 1,Working,Laborers,,,,,
570,XNA,Pensioner,UNKNOWN,,,,,
571,Emergency,Working,UNKNOWN,,,,,
572,Self-employed,Working,Sales staff,,,,,
573,Kindergarten,Working,Core staff,,,,,
574,Self-employed,Commercial associate,Sales staff,,,,,
575,Business Entity Type 3,Commercial associate,Managers,,,,,
576,Industry: type 4,Working,Sales staff,,,,,
577,Medicine,State servant,Medicine staff,,,,,
578,School,Commercial associate,Drivers,,,,,
579,Business Entity Type 3,Working,Cooking staff,,,,,
580,Business Entity Type 2,Working,UNKNOWN,,,,,
581,XNA,Pensioner,UNKNOWN,,,,,
582,Business Entity Type 1,Working,UNKNOWN,,,,,
583,XNA,Pensioner,UNKNOWN,,,,,
584,Other,Working,UNKNOWN,,,,,
585,Trade: type 2,Commercial associate,Core staff,,,,,
586,XNA,Pensioner,UNKNOWN,,,,,
587,Industry: type 7,Working,IT staff,,,,,
588,Construction,Working,Laborers,,,,,
589,XNA,Pensioner,UNKNOWN,,,,,
590,Business Entity Type 3,Commercial associate,Laborers,,,,,
591,Industry: type 2,Working,High skill tech staff,,,,,
592,School,Working,UNKNOWN,,,,,
593,Business Entity Type 2,Commercial associate,Sales staff,,,,,
594,Self-employed,Working,Sales staff,,,,,
595,Construction,Working,Drivers,,,,,
596,Self-employed,Working,Drivers,,,,,
597,Self-employed,Working,Secretaries,,,,,
598,Business Entity Type 3,Working,Drivers,,,,,
599,Security Ministries,State servant,Core staff,,,,,
600,Security,Working,Security staff,,,,,
601,Transport: type 4,Working,Sales staff,,,,,
602,XNA,Pensioner,UNKNOWN,,,,,
603,Self-employed,Working,Laborers,,,,,
604,Business Entity Type 3,Working,Laborers,,,,,
605,Medicine,State servant,Medicine staff,,,,,
606,Other,Working,High skill tech staff,,,,,
607,Transport: type 2,State servant,Laborers,,,,,
608,XNA,Pensioner,UNKNOWN,,,,,
609,Construction,Working,Laborers,,,,,
610,XNA,Pensioner,UNKNOWN,,,,,
611,Business Entity Type 3,Commercial associate,Managers,,,,,
612,Self-employed,Commercial associate,Sales staff,,,,,
613,XNA,Pensioner,UNKNOWN,,,,,
614,XNA,Pensioner,UNKNOWN,,,,,
615,Other,State servant,Managers,,,,,
616,Self-employed,Working,Laborers,,,,,
617,XNA,Pensioner,UNKNOWN,,,,,
618,XNA,Pensioner,UNKNOWN,,,,,
619,Medicine,Commercial associate,Accountants,,,,,
620,Trade: type 2,Working,Core staff,,,,,
621,Business Entity Type 3,Working,Managers,,,,,
622,Business Entity Type 3,Working,Managers,,,,,
623,Industry: type 3,Working,Accountants,,,,,
624,XNA,Pensioner,UNKNOWN,,,,,
625,Industry: type 1,Working,Laborers,,,,,
626,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
627,Security,Working,High skill tech staff,,,,,
628,Housing,Commercial associate,Laborers,,,,,
629,Self-employed,Working,Medicine staff,,,,,
630,Medicine,Working,Medicine staff,,,,,
631,XNA,Pensioner,UNKNOWN,,,,,
632,Agriculture,Working,UNKNOWN,,,,,
633,Transport: type 4,Working,Laborers,,,,,
634,Trade: type 3,Working,Core staff,,,,,
635,Business Entity Type 3,Working,UNKNOWN,,,,,
636,Business Entity Type 3,Working,Drivers,,,,,
637,Self-employed,Working,Sales staff,,,,,
638,Medicine,Commercial associate,Medicine staff,,,,,
639,Business Entity Type 1,Commercial associate,Accountants,,,,,
640,Business Entity Type 2,Working,UNKNOWN,,,,,
641,Services,Working,Laborers,,,,,
642,Insurance,Working,Core staff,,,,,
643,Industry: type 7,Working,High skill tech staff,,,,,
644,Medicine,Working,Medicine staff,,,,,
645,Housing,Commercial associate,Laborers,,,,,
646,XNA,Pensioner,UNKNOWN,,,,,
647,Self-employed,Working,Laborers,,,,,
648,Business Entity Type 3,Commercial associate,Accountants,,,,,
649,Business Entity Type 3,Commercial associate,Low-skill Laborers,,,,,
650,XNA,Pensioner,UNKNOWN,,,,,
651,Business Entity Type 3,Working,Laborers,,,,,
652,XNA,Pensioner,UNKNOWN,,,,,
653,Self-employed,Working,Sales staff,,,,,
654,Self-employed,Working,Sales staff,,,,,
655,Business Entity Type 3,Working,Laborers,,,,,
656,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
657,Government,Working,Core staff,,,,,
658,Business Entity Type 3,Working,Laborers,,,,,
659,Restaurant,Commercial associate,Cleaning staff,,,,,
660,Business Entity Type 3,Commercial associate,Drivers,,,,,
661,Services,Commercial associate,Realty agents,,,,,
662,Emergency,Working,Managers,,,,,
663,Business Entity Type 3,Working,Drivers,,,,,
664,Other,Commercial associate,Laborers,,,,,
665,Business Entity Type 3,Working,Laborers,,,,,
666,Transport: type 4,Working,Managers,,,,,
667,Industry: type 9,Working,Managers,,,,,
668,XNA,Pensioner,UNKNOWN,,,,,
669,Self-employed,Working,Sales staff,,,,,
670,Industry: type 9,Working,Laborers,,,,,
671,Self-employed,Commercial associate,Accountants,,,,,
672,Industry: type 11,Commercial associate,Drivers,,,,,
673,Business Entity Type 2,Working,High skill tech staff,,,,,
674,Self-employed,Working,Core staff,,,,,
675,Self-employed,Commercial associate,Drivers,,,,,
676,Government,Working,Drivers,,,,,
677,Self-employed,Commercial associate,Laborers,,,,,
678,XNA,Pensioner,UNKNOWN,,,,,
679,XNA,Pensioner,UNKNOWN,,,,,
680,School,Working,UNKNOWN,,,,,
681,Trade: type 7,Working,Managers,,,,,
682,Mobile,Commercial associate,Core staff,,,,,
683,Business Entity Type 3,Working,UNKNOWN,,,,,
684,Business Entity Type 3,Working,Laborers,,,,,
685,Government,State servant,Accountants,,,,,
686,XNA,Pensioner,UNKNOWN,,,,,
687,Business Entity Type 3,Working,Managers,,,,,
688,Self-employed,Commercial associate,Cleaning staff,,,,,
689,Business Entity Type 2,Working,Laborers,,,,,
690,Medicine,Commercial associate,UNKNOWN,,,,,
691,XNA,Pensioner,UNKNOWN,,,,,
692,Services,Working,Core staff,,,,,
693,Self-employed,Working,Sales staff,,,,,
694,Trade: type 7,Commercial associate,Sales staff,,,,,
695,Trade: type 1,Commercial associate,Laborers,,,,,
696,Business Entity Type 3,Working,Managers,,,,,
697,Police,State servant,Core staff,,,,,
698,Business Entity Type 3,Working,Laborers,,,,,
699,Business Entity Type 3,Working,UNKNOWN,,,,,
700,Self-employed,Commercial associate,Sales staff,,,,,
701,Self-employed,Commercial associate,Managers,,,,,
702,Business Entity Type 3,Working,Managers,,,,,
703,Industry: type 9,Commercial associate,UNKNOWN,,,,,
704,Transport: type 4,Working,UNKNOWN,,,,,
705,Police,State servant,Core staff,,,,,
706,XNA,Pensioner,UNKNOWN,,,,,
707,XNA,Pensioner,UNKNOWN,,,,,
708,Business Entity Type 3,Working,Laborers,,,,,
709,Self-employed,Working,Managers,,,,,
710,XNA,Pensioner,UNKNOWN,,,,,
711,Self-employed,Working,Drivers,,,,,
712,Business Entity Type 3,Working,UNKNOWN,,,,,
713,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
714,Self-employed,Working,Sales staff,,,,,
715,XNA,Pensioner,UNKNOWN,,,,,
716,Agriculture,Working,Accountants,,,,,
717,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
718,XNA,Pensioner,UNKNOWN,,,,,
719,Industry: type 9,Commercial associate,Laborers,,,,,
720,Kindergarten,Commercial associate,Core staff,,,,,
721,Medicine,Working,Medicine staff,,,,,
722,Transport: type 4,Working,UNKNOWN,,,,,
723,Construction,Commercial associate,Laborers,,,,,
724,Kindergarten,Commercial associate,Core staff,,,,,
725,Government,Working,Core staff,,,,,
726,Business Entity Type 3,Commercial associate,Laborers,,,,,
727,Transport: type 2,Commercial associate,Core staff,,,,,
728,Self-employed,Working,Core staff,,,,,
729,Military,Working,UNKNOWN,,,,,
730,Kindergarten,State servant,Core staff,,,,,
731,Electricity,Commercial associate,Laborers,,,,,
732,Transport: type 4,Working,UNKNOWN,,,,,
733,XNA,Pensioner,UNKNOWN,,,,,
734,Business Entity Type 3,Working,Laborers,,,,,
735,Business Entity Type 2,Working,High skill tech staff,,,,,
736,Medicine,State servant,Cooking staff,,,,,
737,XNA,Pensioner,UNKNOWN,,,,,
738,Self-employed,Working,Drivers,,,,,
739,Business Entity Type 3,Working,Managers,,,,,
740,Kindergarten,Working,Cooking staff,,,,,
741,Self-employed,Working,Low-skill Laborers,,,,,
742,Self-employed,Working,Drivers,,,,,
743,Other,Working,High skill tech staff,,,,,
744,XNA,Pensioner,UNKNOWN,,,,,
745,Business Entity Type 3,Working,Drivers,,,,,
746,Self-employed,Working,Core staff,,,,,
747,Self-employed,Working,Low-skill Laborers,,,,,
748,Other,Working,Private service staff,,,,,
749,Business Entity Type 3,Working,High skill tech staff,,,,,
750,XNA,Pensioner,UNKNOWN,,,,,
751,Self-employed,Commercial associate,High skill tech staff,,,,,
752,Kindergarten,State servant,Medicine staff,,,,,
753,Agriculture,Working,HR staff,,,,,
754,XNA,Pensioner,UNKNOWN,,,,,
755,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
756,Business Entity Type 3,Working,High skill tech staff,,,,,
757,Postal,State servant,Core staff,,,,,
758,Trade: type 3,Commercial associate,Sales staff,,,,,
759,Business Entity Type 3,Commercial associate,Accountants,,,,,
760,Electricity,Commercial associate,UNKNOWN,,,,,
761,Industry: type 5,Commercial associate,Laborers,,,,,
762,Industry: type 11,Working,High skill tech staff,,,,,
763,Industry: type 3,Working,Laborers,,,,,
764,Self-employed,Working,Laborers,,,,,
765,Trade: type 7,Working,Sales staff,,,,,
766,XNA,Pensioner,UNKNOWN,,,,,
767,Other,State servant,UNKNOWN,,,,,
768,Business Entity Type 3,Working,UNKNOWN,,,,,
769,Self-employed,Working,Sales staff,,,,,
770,Medicine,Working,High skill tech staff,,,,,
771,Business Entity Type 3,Working,Medicine staff,,,,,
772,Other,State servant,UNKNOWN,,,,,
773,XNA,Pensioner,UNKNOWN,,,,,
774,Industry: type 10,Commercial associate,High skill tech staff,,,,,
775,Self-employed,Commercial associate,HR staff,,,,,
776,Medicine,Working,Medicine staff,,,,,
777,XNA,Pensioner,UNKNOWN,,,,,
778,XNA,Pensioner,UNKNOWN,,,,,
779,School,Working,Core staff,,,,,
780,Security Ministries,Working,Core staff,,,,,
781,Other,Working,High skill tech staff,,,,,
782,Government,Working,Laborers,,,,,
783,Self-employed,Working,UNKNOWN,,,,,
784,XNA,Pensioner,UNKNOWN,,,,,
785,Trade: type 3,Working,Sales staff,,,,,
786,Transport: type 2,Working,UNKNOWN,,,,,
787,Trade: type 7,State servant,UNKNOWN,,,,,
788,XNA,Pensioner,UNKNOWN,,,,,
789,Medicine,Working,Medicine staff,,,,,
790,Business Entity Type 3,Working,Sales staff,,,,,
791,Trade: type 3,Working,Core staff,,,,,
792,Business Entity Type 1,Working,Laborers,,,,,
793,Government,Working,UNKNOWN,,,,,
794,Business Entity Type 3,Commercial associate,Cooking staff,,,,,
795,XNA,Pensioner,UNKNOWN,,,,,
796,Bank,Commercial associate,Core staff,,,,,
797,Business Entity Type 3,Commercial associate,Waiters/barmen staff,,,,,
798,Industry: type 9,Commercial associate,Core staff,,,,,
799,Postal,State servant,Managers,,,,,
800,School,State servant,Core staff,,,,,
801,Trade: type 7,Working,Sales staff,,,,,
802,XNA,Pensioner,UNKNOWN,,,,,
803,Transport: type 3,Working,Drivers,,,,,
804,Government,Working,Medicine staff,,,,,
805,XNA,Pensioner,UNKNOWN,,,,,
806,Other,Commercial associate,Cleaning staff,,,,,
807,Business Entity Type 3,Working,Drivers,,,,,
808,Kindergarten,State servant,Core staff,,,,,
809,Business Entity Type 3,Working,Laborers,,,,,
810,Other,Working,Sales staff,,,,,
811,Postal,Working,Accountants,,,,,
812,Kindergarten,Working,Core staff,,,,,
813,Services,Commercial associate,Laborers,,,,,
814,Business Entity Type 3,Working,Laborers,,,,,
815,Business Entity Type 3,Working,UNKNOWN,,,,,
816,Self-employed,Working,High skill tech staff,,,,,
817,Business Entity Type 2,Commercial associate,High skill tech staff,,,,,
818,XNA,Pensioner,UNKNOWN,,,,,
819,Business Entity Type 3,Working,Drivers,,,,,
820,XNA,Pensioner,UNKNOWN,,,,,
821,Medicine,Working,Medicine staff,,,,,
822,Government,State servant,Core staff,,,,,
823,XNA,Pensioner,UNKNOWN,,,,,
824,Kindergarten,Working,Core staff,,,,,
825,Trade: type 3,Commercial associate,Sales staff,,,,,
826,School,Working,Managers,,,,,
827,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
828,XNA,Pensioner,UNKNOWN,,,,,
829,Medicine,Commercial associate,Core staff,,,,,
830,XNA,Pensioner,UNKNOWN,,,,,
831,Business Entity Type 2,Working,Laborers,,,,,
832,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
833,Business Entity Type 3,Working,Low-skill Laborers,,,,,
834,Business Entity Type 2,Working,IT staff,,,,,
835,XNA,Pensioner,UNKNOWN,,,,,
836,Kindergarten,State servant,Core staff,,,,,
837,Services,Commercial associate,UNKNOWN,,,,,
838,Trade: type 6,Working,High skill tech staff,,,,,
839,Other,State servant,UNKNOWN,,,,,
840,Restaurant,Working,Laborers,,,,,
841,Industry: type 11,Commercial associate,Laborers,,,,,
842,Business Entity Type 3,Commercial associate,High skill tech staff,,,,,
843,Transport: type 4,Commercial associate,UNKNOWN,,,,,
844,Medicine,Working,UNKNOWN,,,,,
845,Self-employed,Working,Cooking staff,,,,,
846,Business Entity Type 3,Working,Drivers,,,,,
847,Self-employed,Working,Sales staff,,,,,
848,Business Entity Type 3,Commercial associate,UNKNOWN,,,,,
849,Self-employed,Commercial associate,Accountants,,,,,
850,Business Entity Type 3,Working,UNKNOWN,,,,,
851,Other,State servant,Security staff,,,,,
852,XNA,Pensioner,UNKNOWN,,,,,
853,Self-employed,Working,Accountants,,,,,
854,Business Entity Type 3,Working,Sales staff,,,,,
855,XNA,Pensioner,UNKNOWN,,,,,
856,Self-employed,Working,Sales staff,,,,,
857,Trade: type 7,Working,Sales staff,,,,,
858,Trade: type 3,Working,Sales staff,,,,,
859,XNA,Pensioner,UNKNOWN,,,,,
860,Business Entity Type 3,Working,Drivers,,,,,
861,Self-employed,Working,Drivers,,,,,
862,Business Entity Type 3,Working,High skill tech staff,,,,,
863,Self-employed,Working,Sales staff,,,,,
864,Medicine,Working,Drivers,,,,,
865,Business Entity Type 3,Working,Security staff,,,,,
866,Business Entity Type 3,Working,Laborers,,,,,
867,Business Entity Type 2,Working,Laborers,,,,,
868,Business Entity Type 3,Working,Laborers,,,,,
869,Business Entity Type 3,Working,Cooking staff,,,,,
870,Other,State servant,Sales staff,,,,,
871,Business Entity Type 1,Commercial associate,High skill tech staff,,,,,
872,Self-employed,Commercial associate,Core staff,,,,,
873,Self-employed,Commercial associate,Sales staff,,,,,
874,Business Entity Type 1,Commercial associate,Managers,,,,,
875,Postal,Commercial associate,Laborers,,,,,
876,XNA,Pensioner,UNKNOWN,,,,,
877,Business Entity Type 3,Working,Private service staff,,,,,
878,Self-employed,Commercial associate,Sales staff,,,,,
879,Industry: type 1,Working,UNKNOWN,,,,,
880,Self-employed,Working,UNKNOWN,,,,,
881,Business Entity Type 3,Commercial associate,Sales staff,,,,,
882,Self-employed,Working,Laborers,,,,,
883,Business Entity Type 2,Working,Laborers,,,,,
884,Other,Working,Sales staff,,,,,
885,Self-employed,Working,Managers,,,,,
886,XNA,Pensioner,UNKNOWN,,,,,
887,School,Working,Managers,,,,,
888,Transport: type 2,Working,Medicine staff,,,,,
889,XNA,Pensioner,UNKNOWN,,,,,
890,Other,Working,Laborers,,,,,
891,Self-employed,Working,Laborers,,,,,
892,Self-employed,Commercial associate,UNKNOWN,,,,,
893,Self-employed,Working,UNKNOWN,,,,,
894,Services,Working,Core staff,,,,,
895,Government,Working,UNKNOWN,,,,,
896,Trade: type 6,Commercial associate,Sales staff,,,,,
897,Trade: type 2,Commercial associate,Laborers,,,,,
898,XNA,Pensioner,UNKNOWN,,,,,
899,Business Entity Type 3,Working,Security staff,,,,,
900,XNA,Pensioner,UNKNOWN,,,,,
901,Transport: type 4,Working,Laborers,,,,,
902,Business Entity Type 3,Commercial associate,Accountants,,,,,
903,XNA,Pensioner,UNKNOWN,,,,,
904,Business Entity Type 3,Working,Sales staff,,,,,
905,XNA,Pensioner,UNKNOWN,,,,,
906,Industry: type 5,Working,Laborers,,,,,
907,Business Entity Type 3,Working,Low-skill Laborers,,,,,
908,Construction,Working,Laborers,,,,,
909,Medicine,Working,Secretaries,,,,,
910,Construction,Working,Managers,,,,,
911,Government,Working,Drivers,,,,,
912,Medicine,Working,UNKNOWN,,,,,
913,Construction,Working,Sales staff,,,,,
914,Business Entity Type 2,Working,Sales staff,,,,,
915,Business Entity Type 1,Working,UNKNOWN,,,,,
916,Medicine,Working,UNKNOWN,,,,,
917,Industry: type 9,Working,High skill tech staff,,,,,
918,Business Entity Type 3,Working,UNKNOWN,,,,,
919,Government,Working,Laborers,,,,,
920,Self-employed,Commercial associate,High skill tech staff,,,,,
921,Industry: type 1,Working,UNKNOWN,,,,,
922,Business Entity Type 3,Working,Laborers,,,,,
923,School,Working,Core staff,,,,,
924,Self-employed,Working,Sales staff,,,,,
925,Industry: type 7,Working,Laborers,,,,,
926,Trade: type 7,Working,Sales staff,,,,,
927,Transport: type 3,Working,Drivers,,,,,
928,Self-employed,Commercial associate,Core staff,,,,,
929,Government,Working,Core staff,,,,,
930,Trade: type 3,Working,Managers,,,,,
931,Business Entity Type 3,Commercial associate,Drivers,,,,,
932,Self-employed,Working,Cooking staff,,,,,
933,Business Entity Type 3,Working,UNKNOWN,,,,,
934,Business Entity Type 3,Commercial associate,Drivers,,,,,
935,Business Entity Type 3,Working,UNKNOWN,,,,,
936,Business Entity Type 3,Commercial associate,Sales staff,,,,,
937,Business Entity Type 3,Working,Laborers,,,,,
938,Self-employed,Working,Core staff,,,,,
939,Business Entity Type 3,State servant,UNKNOWN,,,,,
940,Self-employed,Working,Laborers,,,,,
941,Other,Working,Medicine staff,,,,,
942,Business Entity Type 3,Working,Drivers,,,,,
943,Business Entity Type 3,Working,UNKNOWN,,,,,
944,Medicine,State servant,Medicine staff,,,,,
945,XNA,Pensioner,UNKNOWN,,,,,
946,Industry: type 1,Commercial associate,High skill tech staff,,,,,
947,Business Entity Type 2,Working,Sales staff,,,,,
948,Business Entity Type 2,Working,High skill tech staff,,,,,
949,Transport: type 2,Working,Laborers,,,,,
950,Business Entity Type 3,Working,Sales staff,,,,,
951,Legal Services,Working,Core staff,,,,,
952,Self-employed,Working,Drivers,,,,,
953,Business Entity Type 3,Commercial associate,Accountants,,,,,
954,Trade: type 3,Commercial associate,UNKNOWN,,,,,
955,XNA,Pensioner,UNKNOWN,,,,,
956,Business Entity Type 3,Commercial associate,Sales staff,,,,,
957,Business Entity Type 3,Working,Low-skill Laborers,,,,,
958,Business Entity Type 3,Working,Managers,,,,,
959,Agriculture,Working,Drivers,,,,,
960,Self-employed,Commercial associate,UNKNOWN,,,,,
961,Business Entity Type 3,Commercial associate,Accountants,,,,,
